time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CINPlan_start,CINPlan_start_rate,CINPlan_child_start,CINPlan_child_start_rate,CINPlan_end,CINPlan_end_rate,CINPlan_child_end,CINPlan_child_end_rate,CINPlan_anypoint,CINPlan_anypoint_rate,CINPlan_child_anypoint,CINPlan_child_anypoint_rate,CINPlan_At31,CINPlan_At31_rate
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,CIN Plans,1447,248.2,1404,240.8,1404,240.8,1355,232.4,2255,386.8,2118,363.3,851,146
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,CIN Plans,550,132.1,521,125.1,482,115.7,474,113.8,1018,244.4,974,233.9,536,128.7
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,CIN Plans,667,96.1,667,96.1,512,73.8,512,73.8,1101,158.7,1101,158.7,589,84.9
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,CIN Plans,1727,144.9,1716,144,1248,104.7,1238,103.9,2923,245.3,2884,242,1675,140.6
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,CIN Plans,1306,207.1,1265,200.6,1211,192.1,1196,189.7,1878,297.9,1827,289.8,667,105.8
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,CIN Plans,1419,118.9,1378,115.5,1325,111,1283,107.5,2307,193.3,2219,185.9,982,82.3
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,CIN Plans,690,167.6,660,160.3,617,149.9,604,146.7,1064,258.4,1022,248.2,447,108.6
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,CIN Plans,1264,91.9,1229,89.3,1233,89.6,1196,86.9,1814,131.9,1746,126.9,581,42.2
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,CIN Plans,547,83.9,546,83.7,492,75.5,492,75.5,896,137.4,895,137.3,404,62
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,CIN Plans,1975,62.3,1951,61.5,1916,60.4,1901,60,3347,105.6,3269,103.1,1431,45.1
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,CIN Plans,711,122.4,688,118.5,787,135.5,772,132.9,1300,223.9,1261,217.1,513,88.3
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,CIN Plans,2334,135.6,2244,130.3,2336,135.7,2239,130,3582,208,3389,196.8,1246,72.4
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,CIN Plans,766,145.8,750,142.8,735,139.9,725,138,1245,237,1197,227.9,510,97.1
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,CIN Plans,715,179.9,689,173.4,749,188.5,728,183.2,1069,269,1018,256.2,320,80.5
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,CIN Plans,1874,122.6,1830,119.7,1954,127.8,1904,124.6,2985,195.3,2847,186.2,1031,67.4
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,CIN Plans,803,176.9,764,168.4,938,206.7,911,200.7,1447,318.9,1377,303.4,509,112.2
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,CIN Plans,2284,180.1,2231,175.9,1979,156.1,1937,152.8,3438,271.1,3310,261,1459,115.1
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,CIN Plans,1277,119.8,1239,116.3,1245,116.8,1205,113.1,2286,214.5,2191,205.6,1041,97.7
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,CIN Plans,17371,608.2,14311,501.1,18572,650.3,15183,531.6,21172,741.3,17345,607.3,2600,91
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,CIN Plans,2228,903,1818,736.8,2419,980.4,1967,797.2,2642,1070.8,2093,848.3,223,90.4
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,CIN Plans,5083,146.7,4958,143.1,4740,136.8,4622,133.4,8197,236.5,7859,226.8,3457,99.7
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,CIN Plans,398,60.8,398,60.8,7,1.1,7,1.1,436,66.6,432,66,429,65.6
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,CIN Plans,1459,210.5,1426,205.7,1298,187.3,1261,181.9,2628,379.2,2509,362,1330,191.9
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,CIN Plans,1880,126.9,1845,124.6,1891,127.7,1856,125.3,3279,221.4,3167,213.8,1388,93.7
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,CIN Plans,605,138.3,599,136.9,536,122.5,529,120.9,785,179.4,769,175.7,249,56.9
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,CIN Plans,1898,509.5,1716,460.6,1687,452.8,1543,414.2,2743,736.3,2429,652,1056,283.5
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,CIN Plans,983,225.2,968,221.7,880,201.6,863,197.7,1493,342,1451,332.4,613,140.4
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,CIN Plans,2839,548,2508,484.1,915,176.6,738,142.5,2930,565.6,2567,495.5,2015,389
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,CIN Plans,2331,88,2296,86.6,2394,90.3,2358,89,4294,162,4175,157.5,1900,71.7
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,CIN Plans,980,275.7,692,194.7,825,232.1,549,154.4,1098,308.9,778,218.9,273,76.8
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,CIN Plans,2376,134,1847,104.1,2764,155.8,2062,116.3,4679,263.8,3529,199,1467,82.7
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,CIN Plans,389,112.2,387,111.6,403,116.2,398,114.8,600,173,592,170.7,197,56.8
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,CIN Plans,347,94.6,341,93,423,115.3,412,112.3,756,206.1,734,200.1,333,90.8
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",CIN Plans,1742,228.2,1658,217.2,1671,218.9,1608,210.6,2534,331.9,2356,308.6,863,113
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",CIN Plans,1202,127.3,1164,123.3,1189,125.9,1143,121.1,1782,188.8,1681,178.1,593,62.8
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,CIN Plans,1338,122.8,1314,120.6,1337,122.7,1316,120.8,1837,168.6,1788,164.1,500,45.9
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,CIN Plans,1831,123.7,1809,122.2,1481,100,1453,98.1,2466,166.5,2388,161.3,985,66.5
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,CIN Plans,1269,187.5,1225,181,1213,179.2,1184,174.9,2029,299.7,1929,284.9,816,120.5
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,CIN Plans,2156,166.4,2099,162,2027,156.5,2004,154.7,3104,239.6,2991,230.9,1077,83.1
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,CIN Plans,413,94.2,404,92.2,385,87.9,372,84.9,624,142.4,601,137.2,239,54.5
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,CIN Plans,1020,191.4,1003,188.2,984,184.6,967,181.5,1472,276.2,1434,269.1,488,91.6
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,CIN Plans,886,79.6,877,78.8,776,69.7,765,68.7,1405,126.2,1376,123.6,629,56.5
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,CIN Plans,610,101.8,608,101.5,529,88.3,527,87.9,946,157.9,935,156,417,69.6
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,CIN Plans,560,110.3,560,110.3,198,39,198,39,560,110.3,560,110.3,362,71.3
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,CIN Plans,1195,468.9,1146,449.7,723,283.7,705,276.6,1212,475.6,1163,456.4,489,191.9
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,CIN Plans,1432,134.7,1411,132.8,1412,132.9,1377,129.6,2203,207.3,2105,198.1,791,74.4
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,CIN Plans,895,165.4,873,161.4,953,176.2,944,174.5,1608,297.2,1572,290.6,655,121.1
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,CIN Plans,26,142.5,26,142.5,0,0,0,0,36,197.3,36,197.3,36,197.3
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,CIN Plans,303,81.6,297,80,400,107.8,394,106.2,704,189.7,673,181.3,304,81.9
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,CIN Plans,1173,197.3,1172,197.1,1078,181.3,1073,180.5,1668,280.5,1662,279.5,590,99.2
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,CIN Plans,2463,569.7,1141,263.9,2547,589.1,1253,289.8,3060,707.8,1392,322,513,118.7
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,CIN Plans,1304,448,1182,406.1,1241,426.4,1136,390.3,1643,564.5,1476,507.1,402,138.1
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,CIN Plans,1040,168.7,1013,164.3,86,14,86,14,1040,168.7,1013,164.3,954,154.8
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,CIN Plans,837,122.6,823,120.5,839,122.9,834,122.2,1344,196.8,1316,192.7,505,74
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,CIN Plans,1245,143.9,1227,141.8,1266,146.3,1243,143.7,2151,248.6,2100,242.7,885,102.3
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,CIN Plans,903,137,892,135.3,885,134.3,880,133.5,1760,267,1725,261.7,875,132.8
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,CIN Plans,1358,183.4,1330,179.6,1464,197.7,1450,195.8,2025,273.5,1980,267.4,561,75.8
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,CIN Plans,1198,184.3,1153,177.4,1078,165.9,1064,163.7,1945,299.3,1900,292.4,867,133.4
2022,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,CIN Plans,505,99.6,505,99.6,194,38.3,194,38.3,505,99.6,505,99.6,311,61.3
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,CIN Plans,1655,258.2,1613,251.7,1536,239.7,1499,233.9,2489,388.3,2396,373.8,953,148.7
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,CIN Plans,1006,175.2,947,164.9,970,168.9,914,159.2,1494,260.2,1379,240.1,524,91.3
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,CIN Plans,1149,147.5,1142,146.6,1138,146.1,1134,145.6,1273,163.5,1266,162.6,135,17.3
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,CIN Plans,820,108.7,750,99.4,116,15.4,110,14.6,1006,133.3,896,118.7,890,117.9
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,CIN Plans,1424,149.4,1407,147.6,1281,134.4,1272,133.5,2219,232.8,2182,228.9,938,98.4
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,CIN Plans,1070,130.2,1057,128.6,1070,130.2,1057,128.6,1715,208.6,1660,201.9,645,78.5
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,CIN Plans,1135,134.5,1110,131.5,944,111.9,932,110.4,1967,233.1,1905,225.7,1023,121.2
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,CIN Plans,508,73.1,502,72.2,498,71.7,494,71.1,741,106.6,727,104.6,243,35
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,CIN Plans,752,125.4,746,124.4,699,116.6,691,115.2,1269,211.6,1252,208.8,570,95
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,CIN Plans,621,105.2,621,105.2,530,89.8,530,89.8,938,158.9,938,158.9,408,69.1
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,CIN Plans,1198,160.5,1172,157,1116,149.5,1095,146.7,1893,253.6,1812,242.7,777,104.1
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,CIN Plans,921,140,895,136.1,840,127.7,811,123.3,1358,206.5,1288,195.8,518,78.8
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,CIN Plans,445,111.1,435,108.6,455,113.6,441,110.1,703,175.5,669,167.1,248,61.9
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,CIN Plans,137,28.7,136,28.5,123,25.8,119,24.9,278,58.2,269,56.3,155,32.5
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,CIN Plans,800,104.6,784,102.6,678,88.7,668,87.4,1531,200.3,1499,196.1,853,111.6
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,CIN Plans,472,103.1,463,101.1,423,92.4,419,91.5,723,157.9,702,153.3,300,65.5
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,CIN Plans,796,161.3,792,160.5,822,166.6,815,165.1,1568,317.7,1547,313.5,746,151.2
2022,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,CIN Plans,1051,156.5,1030,153.4,1057,157.4,1035,154.2,1528,227.6,1483,220.9,471,70.2
