time_period,time_identifier,geographic_level,country_code,country_name,placement_duration,placement_group,number,percentage
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,All placements,7200,9
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Foster placements,4370,10
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements,510,25
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements in the community,270,6
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Other residential settings,790,22
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed for adoption,30,1
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed with parents or other person with parental responsibility,410,6
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,Residential schools,c,c
2021,Reporting year,National,E92000001,England,1. 1 to 7 days,"Secure units, children’s homes and semi-independent living accommodation",830,6
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,All placements,8640,11
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Foster placements,4480,10
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements,520,25
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements in the community,560,12
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other residential settings,670,19
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed for adoption,40,1
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed with parents or other person with parental responsibility,670,10
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Residential schools,c,c
2021,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,"Secure units, children’s homes and semi-independent living accommodation",1710,12
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,All placements,11980,15
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Foster placements,5650,13
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements,400,19
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements in the community,910,20
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other residential settings,830,23
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed for adoption,120,4
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed with parents or other person with parental responsibility,1210,19
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Residential schools,10,14
2021,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,"Secure units, children’s homes and semi-independent living accommodation",2850,20
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,All placements,12960,16
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Foster placements,6360,14
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements,290,14
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements in the community,960,21
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other residential settings,720,20
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed for adoption,580,19
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed with parents or other person with parental responsibility,1260,19
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Residential schools,10,17
2021,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,"Secure units, children’s homes and semi-independent living accommodation",2780,19
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,All placements,16350,21
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Foster placements,8730,19
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements,250,12
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements in the community,1160,25
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other residential settings,370,10
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed for adoption,1620,53
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed with parents or other person with parental responsibility,1220,19
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Residential schools,10,18
2021,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,"Secure units, children’s homes and semi-independent living accommodation",3000,21
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,All placements,12810,16
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Foster placements,7970,18
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements,80,4
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements in the community,770,17
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other residential settings,120,4
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed for adoption,590,19
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed with parents or other person with parental responsibility,1070,16
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Residential schools,10,22
2021,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,"Secure units, children’s homes and semi-independent living accommodation",2200,15
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,All placements,7080,9
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Foster placements,5370,12
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements,10,1
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements in the community,20,~
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other residential settings,50,1
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed for adoption,70,2
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed with parents or other person with parental responsibility,610,9
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Residential schools,10,17
2021,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,"Secure units, children’s homes and semi-independent living accommodation",950,7
2021,Reporting year,National,E92000001,England,8. From 5 years and over,All placements,2080,3
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Foster placements,1910,4
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements,0,0
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements in the community,0,0
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Other residential settings,c,c
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Placed for adoption,c,c
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Placed with parents or other person with parental responsibility,40,1
2021,Reporting year,National,E92000001,England,8. From 5 years and over,Residential schools,c,c
2021,Reporting year,National,E92000001,England,8. From 5 years and over,"Secure units, children’s homes and semi-independent living accommodation",120,1
2021,Reporting year,National,E92000001,England,All placements,All placements,79090,100
2021,Reporting year,National,E92000001,England,All placements,Foster placements,44840,57
2021,Reporting year,National,E92000001,England,All placements,Other placements,2050,3
2021,Reporting year,National,E92000001,England,All placements,Other placements in the community,4640,6
2021,Reporting year,National,E92000001,England,All placements,Other residential settings,3540,4
2021,Reporting year,National,E92000001,England,All placements,Placed for adoption,3030,4
2021,Reporting year,National,E92000001,England,All placements,Placed with parents or other person with parental responsibility,6500,8
2021,Reporting year,National,E92000001,England,All placements,Residential schools,70,~
2021,Reporting year,National,E92000001,England,All placements,"Secure units, children’s homes and semi-independent living accommodation",14430,18
2021,Reporting year,National,E92000001,England,Average duration (days),All placements,343,z
2021,Reporting year,National,E92000001,England,Average duration (days),Foster placements,426,z
2021,Reporting year,National,E92000001,England,Average duration (days),Other placements,89,z
2021,Reporting year,National,E92000001,England,Average duration (days),Other placements in the community,193,z
2021,Reporting year,National,E92000001,England,Average duration (days),Other residential settings,101,z
2021,Reporting year,National,E92000001,England,Average duration (days),Placed for adoption,285,z
2021,Reporting year,National,E92000001,England,Average duration (days),Placed with parents or other person with parental responsibility,287,z
2021,Reporting year,National,E92000001,England,Average duration (days),Residential schools,559,z
2021,Reporting year,National,E92000001,England,Average duration (days),"Secure units, children’s homes and semi-independent living accommodation",262,z
2021,Reporting year,National,E92000001,England,Median duration (days),All placements,173,z
2021,Reporting year,National,E92000001,England,Median duration (days),Foster placements,209,z
2021,Reporting year,National,E92000001,England,Median duration (days),Other placements,31,z
2021,Reporting year,National,E92000001,England,Median duration (days),Other placements in the community,140,z
2021,Reporting year,National,E92000001,England,Median duration (days),Other residential settings,53,z
2021,Reporting year,National,E92000001,England,Median duration (days),Placed for adoption,253,z
2021,Reporting year,National,E92000001,England,Median duration (days),Placed with parents or other person with parental responsibility,156,z
2021,Reporting year,National,E92000001,England,Median duration (days),Residential schools,259,z
2021,Reporting year,National,E92000001,England,Median duration (days),"Secure units, children’s homes and semi-independent living accommodation",147,z
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,All placements,9260,10
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Foster placements,6230,10
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements,440,23
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Other placements in the community,360,6
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Other residential settings,890,22
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed for adoption,30,1
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Placed with parents or other person with parental responsibility,330,5
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,Residential schools,10,12
2020,Reporting year,National,E92000001,England,1. 1 to 7 days,"Secure units, children’s homes and semi-independent living accommodation",980,7
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,All placements,9850,10
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Foster placements,5690,10
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements,440,23
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other placements in the community,730,12
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Other residential settings,780,20
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed for adoption,30,1
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Placed with parents or other person with parental responsibility,680,10
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,Residential schools,c,c
2020,Reporting year,National,E92000001,England,2. From 8 days to under 1 month,"Secure units, children’s homes and semi-independent living accommodation",1490,10
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,All placements,13920,14
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Foster placements,6740,11
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements,420,22
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other placements in the community,1330,22
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Other residential settings,960,24
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed for adoption,200,5
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Placed with parents or other person with parental responsibility,1330,19
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,Residential schools,10,16
2020,Reporting year,National,E92000001,England,3. From 1 month to under 3 months,"Secure units, children’s homes and semi-independent living accommodation",2930,20
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,All placements,15390,16
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Foster placements,7930,13
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements,340,18
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other placements in the community,1330,22
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Other residential settings,750,19
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed for adoption,1050,29
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Placed with parents or other person with parental responsibility,1300,19
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,Residential schools,10,12
2020,Reporting year,National,E92000001,England,4. From 3 months to under 6 months,"Secure units, children’s homes and semi-independent living accommodation",2690,19
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,All placements,19070,20
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Foster placements,11030,19
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements,210,11
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other placements in the community,1510,25
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Other residential settings,390,10
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed for adoption,1860,51
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Placed with parents or other person with parental responsibility,1240,18
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,Residential schools,20,19
2020,Reporting year,National,E92000001,England,5. From 6 months to under 1 year,"Secure units, children’s homes and semi-independent living accommodation",2820,19
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,All placements,17680,18
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Foster placements,12500,21
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements,70,4
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other placements in the community,840,14
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Other residential settings,150,4
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed for adoption,430,12
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Placed with parents or other person with parental responsibility,1250,18
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,Residential schools,20,17
2020,Reporting year,National,E92000001,England,6. From 1 years to under 2 years,"Secure units, children’s homes and semi-independent living accommodation",2420,17
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,All placements,9040,9
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Foster placements,7110,12
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements,10,1
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other placements in the community,10,~
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Other residential settings,60,1
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed for adoption,50,1
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Placed with parents or other person with parental responsibility,700,10
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,Residential schools,10,14
2020,Reporting year,National,E92000001,England,7. From 2 years to under 5 years,"Secure units, children’s homes and semi-independent living accommodation",1090,7
2020,Reporting year,National,E92000001,England,8. From 5 years and over,All placements,2280,2
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Foster placements,2100,4
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Other placements in the community,0,0
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Other residential settings,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Placed for adoption,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Placed with parents or other person with parental responsibility,60,1
2020,Reporting year,National,E92000001,England,8. From 5 years and over,Residential schools,c,c
2020,Reporting year,National,E92000001,England,8. From 5 years and over,"Secure units, children’s homes and semi-independent living accommodation",110,1
2020,Reporting year,National,E92000001,England,All placements,All placements,96480,100
2020,Reporting year,National,E92000001,England,All placements,Foster placements,59330,61
2020,Reporting year,National,E92000001,England,All placements,Other placements,1920,2
2020,Reporting year,National,E92000001,England,All placements,Other placements in the community,6110,6
2020,Reporting year,National,E92000001,England,All placements,Other residential settings,3980,4
2020,Reporting year,National,E92000001,England,All placements,Placed for adoption,3650,4
2020,Reporting year,National,E92000001,England,All placements,Placed with parents or other person with parental responsibility,6880,7
2020,Reporting year,National,E92000001,England,All placements,Residential schools,90,~
2020,Reporting year,National,E92000001,England,All placements,"Secure units, children’s homes and semi-independent living accommodation",14510,15
2020,Reporting year,National,E92000001,England,Average duration (days),All placements,345,z
2020,Reporting year,National,E92000001,England,Average duration (days),Foster placements,415,z
2020,Reporting year,National,E92000001,England,Average duration (days),Other placements,92,z
2020,Reporting year,National,E92000001,England,Average duration (days),Other placements in the community,179,z
2020,Reporting year,National,E92000001,England,Average duration (days),Other residential settings,103,z
2020,Reporting year,National,E92000001,England,Average duration (days),Placed for adoption,245,z
2020,Reporting year,National,E92000001,England,Average duration (days),Placed with parents or other person with parental responsibility,307,z
2020,Reporting year,National,E92000001,England,Average duration (days),Residential schools,449,z
2020,Reporting year,National,E92000001,England,Average duration (days),"Secure units, children’s homes and semi-independent living accommodation",270,z
2020,Reporting year,National,E92000001,England,Median duration (days),All placements,182,z
2020,Reporting year,National,E92000001,England,Median duration (days),Foster placements,224,z
2020,Reporting year,National,E92000001,England,Median duration (days),Other placements,38,z
2020,Reporting year,National,E92000001,England,Median duration (days),Other placements in the community,130,z
2020,Reporting year,National,E92000001,England,Median duration (days),Other residential settings,49,z
2020,Reporting year,National,E92000001,England,Median duration (days),Placed for adoption,214,z
2020,Reporting year,National,E92000001,England,Median duration (days),Placed with parents or other person with parental responsibility,168,z
2020,Reporting year,National,E92000001,England,Median duration (days),Residential schools,234,z
